year,treasury10y,lnrgdppc_world_bud,dlnrgdppc_world_bud,dlnpcom,gtmp_noaa_aw,gtmp_noaa_aw_dtfe2s,dummyrecession
1860,4.95591666666667,9.8838844,2.04917,-57.86351,13.66,-.041287463,0
1861,6.10375,8.9884491,-.89543533,-120.39195,13.64,-.10515103,0
1862,5.61608333333333,9.5381937,.54974461,28.258171,13.6,-.10309028,0
1863,5.17058333333333,12.842946,3.3047523,57.39576,13.74,.029980503,0
1864,4.89483333333333,14.760563,1.9176168,58.58696,13.71,.068377167,0
1865,5.13866666666667,14.52917,-.23139286,-13.520554,13.77,.066035822,0
1866,5.5065,17.491068,2.9618979,-41.463089,13.79,.082833007,0
1867,5.41383333333333,16.403793,-1.0872746,-34.351425,13.72,-.022952829,0
1868,5.26825,20.222301,3.8185081,9.6467438,13.76,.017787794,0
1869,5.06025,5.3973846,-14.824917,38.040359,13.78,.052746233,0
1870,5.20291666666667,9.7904835,4.3930988,-27.387619,13.74,-.039281055,0
1871,5.13858333333333,11.063007,1.2725239,6.6213379,13.73,-.029408792,0
1872,4.49175,12.695734,1.6327267,-16.983994,13.72,-.048081741,0
1873,4.41591666666667,13.806771,1.1110373,-20.950508,13.71,-.063935451,1
1874,4.40741666666667,15.254074,1.4473028,-4.0691757,13.69,-.051543117,1
1875,4.29133333333333,16.701904,1.4478302,-3.2691193,13.71,-.032208987,1
1876,4.30075,15.225915,-1.4759893,13.520851,13.68,-.05308903,1
1877,4.19075,16.607271,1.3813562,-25.98188,13.95,.21470268,1
1878,3.96008333333333,19.467453,2.8601818,-12.55397,13.96,.24567004,0
1879,3.94258333333333,18.378601,-1.0888519,-21.069237,13.79,-.034326226,0
1880,3.68941666666667,20.452154,2.0735531,43.097649,13.73,-.090954803,0
1881,3.45416666666667,24.474064,4.0219097,-1.6607666,13.77,-.068718933,0
1882,3.34683333333333,26.407955,1.9338913,.25534058,13.78,-.044855028,0
1883,3.32675,26.556456,.14850044,3.7062759,13.68,-.097634032,0
1884,3.28375,27.133173,.57671738,-6.2993927,13.59,-.22408454,0
1885,3.26066666666667,26.344103,-.78907013,-5.2906952,13.58,-.20454884,0
1886,3.15791666666667,25.927782,-.4163208,-5.6528397,13.65,-.063868038,0
1887,3.13683333333333,30.002319,4.0745373,.098426819,13.59,-.070260972,0
1888,3.14491666666667,30.108166,.10584641,7.4634552,13.73,.061888047,0
1889,3.1195,30.30901,.20084381,-1.9957504,13.82,.17774916,0
1890,3.24466666666667,30.95512,.64611053,-3.3918762,13.62,-.07388071,0
1891,3.35408333333333,29.456949,-1.4981709,-15.389015,13.71,.011670033,0
1892,3.44533333333333,32.813118,3.3561687,8.529129,13.65,-.011160924,0
1893,3.56375,34.762516,1.949398,6.7443466,13.58,-.16027053,1
1894,3.49258333333333,37.860016,3.0974998,-9.4101257,13.66,.016514279,1
1895,3.55466666666667,37.478764,-.38125229,-1.0343399,13.71,.038693067,1
1896,3.43133333333333,39.524586,2.0458221,8.9646149,13.84,.13541229,1
1897,3.19966666666667,41.888458,2.3638725,-4.5731506,13.83,.17046265,1
1898,3.18708333333333,45.129612,3.2411537,-1.4499741,13.67,-.083854355,0
1899,3.0715,47.976048,2.8464355,10.249695,13.74,-.019497123,0
1900,2.96808333333333,47.630276,-.34577179,6.3992691,13.82,.093211219,0
1901,2.88475,50.310581,2.6803055,4.9853592,13.77,.0012307334,0
1902,2.918,52.427017,2.116436,2.8068542,13.67,-.089055084,0
1903,2.95783333333333,52.509136,.082118988,11.916519,13.58,-.20539238,0
1904,3.02408333333333,54.917797,2.4086609,.5978241,13.47,-.29473948,0
1905,3.01508333333333,55.791428,.87363052,-3.8798981,13.66,-.021932479,0
1906,3.06516666666667,57.272964,1.4815369,3.8844757,13.7,.083177246,0
1907,3.15083333333333,57.150043,-.12292099,1.635643,13.57,-.10268419,0
1908,3.29983333333333,57.074917,-.075126648,.55524445,13.5,-.13982849,0
1909,3.35125,61.922852,4.8479347,-2.0765839,13.47,-.15489604,0
1910,3.47625,63.346294,1.4234428,-5.0569153,13.51,-.081676476,0
1911,3.48941666666667,64.700035,1.3537407,2.4948196,13.49,-.023332378,0
1912,3.5075,67.867294,3.1672592,8.7815094,13.57,.024312526,0
1913,3.56241666666667,69.852913,1.9856186,12.214363,13.58,.046615768,0
1914,3.59641666666667,64.971802,-4.8811111,-7.3183594,13.76,.20596227,0
1915,3.62783333333333,63.247284,-1.7245178,-4.7468567,13.8,.26029029,0
1916,3.6025,66.40519,3.1579056,15.865799,13.59,-.039256014,0
1917,3.77541666666667,62.91378,-3.4914093,12.943207,13.47,-.19058132,0
1918,4.177,60.18483,-2.7289505,16.467896,13.62,-.016868429,1
1919,4.7325,59.780663,-.40416718,13.498215,13.66,.04050906,1
1920,5.31916666666667,58.481678,-1.2989845,22.081726,13.65,.036935337,1
1921,5.09,58.311737,-.16994095,-10.952667,13.73,.10169069,1
1922,4.295,65.263603,6.9518661,-.60971069,13.65,-.026201339,0
1923,4.35833333333333,69.561234,4.2976303,1.5379028,13.66,-.019500172,0
1924,4.06,73.890717,4.329483,4.6713104,13.68,.057175394,0
1925,3.86333333333333,78.678108,4.7873917,-.18722534,13.7,.014578793,0
1926,3.68083333333333,81.677376,2.9992676,2.3634338,13.81,.12975658,0
1927,3.33583333333333,84.150169,2.4727936,-7.763092,13.72,.033101849,0
1928,3.3275,87.01059,2.8604202,15.001389,13.74,-.016267778,0
1929,3.60166666666667,89.736572,2.7259827,2.774353,13.59,-.11805948,1
1930,3.28583333333333,85.676483,-4.0600891,-9.2214508,13.79,.03049084,1
1931,3.34083333333333,80.843094,-4.8333893,-13.531708,13.84,.16337885,1
1932,3.68083333333333,76.051872,-4.7912216,-3.7925568,13.78,.015720755,1
1933,3.3075,77.769707,1.7178345,-6.9812012,13.65,-.10835062,1
1934,3.10833333333333,82.807953,5.0382462,1.5730286,13.8,.016899167,1
1935,2.785,88.179131,5.3711777,-1.7871857,13.75,-.0013319097,1
1936,2.64583333333333,93.869194,5.6900635,2.8250275,13.78,.017618522,1
1937,2.69,97.73835,3.8691559,-1.6374664,13.91,.163072,1
1938,2.5475,97.65406,-.084289551,-5.2874298,13.92,.10439689,1
1939,2.3475,102.6215,4.9674377,-1.238327,13.91,.068284489,1
1940,2.20416666666667,104.57921,1.9577103,5.8846436,14.06,.22451609,0
1941,1.98666666666667,107.4566,2.877388,4.478241,14.12,.21043819,0
1942,2.105,109.35371,1.8971176,3.0475311,13.99,.025816666,0
1943,2.07083333333333,115.06664,5.7129211,4.3410339,14,.0022326855,0
1944,2.09083333333333,115.64798,.5813446,4.3573914,14.14,.11210324,0
1945,1.7275,102.47753,-13.170448,2.9033508,14.04,-.012794863,1
1946,1.73916666666667,99.001671,-3.4758606,7.8138123,13.86,-.20368716,1
1947,1.8475,102.36118,3.3595047,6.5923767,13.89,-.16971226,1
1948,2.15166666666667,108.27895,5.9177704,9.3356781,13.84,-.20080732,0
1949,1.92833333333333,111.00381,2.7248688,-22.207047,13.84,-.15101983,0
1950,2.04666666666667,116.50731,5.5034943,3.668335,13.78,-.13029641,0
1951,2.41333333333333,121.00175,4.4944382,10.076935,13.89,-.056154173,0
1952,2.47916666666667,124.09399,3.092247,.64427185,13.95,.06733878,0
1953,2.81333333333333,127.63839,3.5443954,7.41008,14.03,.14120048,0
1954,2.40166666666667,129.59599,1.9576035,-7.6672974,13.83,-.066355996,0
1955,2.81583333333333,134.9671,5.371109,-6.2588959,13.77,-.18389207,0
1956,3.1825,138.19382,3.2267151,3.4003448,13.73,-.16473052,0
1957,3.6475,140.4178,2.2239838,8.1210175,13.96,.071363188,0
1958,3.31583333333333,142.00778,1.5899811,-2.5026245,13.98,.14952075,0
1959,4.33333333333333,145.58481,3.5770264,-.86128235,13.97,.0575069,0
1960,4.11666666666667,148.63445,3.0496368,-1.3503113,13.92,-.0039292206,0
1961,3.8825,151.63951,3.0050659,-3.6210785,13.96,.0061127669,0
1962,3.94606425702811,154.48785,2.8483429,-1.8245087,13.95,.017866544,0
1963,4.00156626506024,156.19185,1.7039948,1.9214935,13.98,.039938714,0
1964,4.18736000000001,161.65797,5.4661255,3.0748596,13.75,-.21383455,0
1965,4.28369477911647,164.84637,3.1884003,-5.7272034,13.84,-.15461798,0
1966,4.92504,168.03123,3.1848602,-14.575226,13.88,-.016486129,0
1967,5.07265060240964,169.77069,1.7394562,-11.898087,13.91,-.018723631,0
1968,5.64436,173.36594,3.5952454,1.1465454,13.84,-.036969107,0
1969,6.67274193548387,176.59726,3.2313232,5.7132263,13.99,.07335075,0
1970,7.35432,179.54692,2.9496613,-17.018158,13.95,.043436464,0
1971,6.16088353413656,181.26555,1.7186279,9.2062225,13.85,-.076938167,0
1972,6.20604,183.72797,2.4624176,7.6537018,13.92,.0071831779,0
1973,6.84810483870968,188.39771,4.6697388,20.304779,14.09,.1569598,1
1974,7.56240963855422,188.31262,-.085083008,60.103439,13.85,-.099382281,1
1975,7.99393574297189,187.80663,-.5059967,30.364014,13.91,-.064607888,1
1976,7.61272,191.01733,3.2107086,2.4128723,13.86,-.071309745,0
1977,7.41763052208836,193.30513,2.287796,5.8017578,14.11,.10384661,0
1978,8.40838709677419,196.02382,2.718689,2.3299866,14.01,.12284395,0
1979,9.432943548387099,197.62811,1.6042938,24.315491,14.12,.096796751,1
1980,11.43344,198.11574,.48762512,33.180511,14.19,.18255636,1
1981,13.9213654618474,198.50125,.38551331,14.015778,14.25,.16584459,1
1982,13.0055020080321,197.81146,-.68978882,-2.6514893,14.09,-.0064164279,1
1983,11.103,199.18997,1.3785095,-23.93866,14.24,.086136788,1
1984,12.4581124497992,202.13481,2.9448395,-13.088745,14.09,-.074741408,0
1985,10.6197983870968,204.25925,2.1244354,2.1584167,14.06,-.16418563,0
1986,7.67284,206.30487,2.0456238,-28.968964,14.11,-.0294277,0
1987,8.39268,208.56734,2.2624664,1.0475769,14.23,.040772676,0
1988,8.848000000000001,211.94333,3.3759918,8.6197205,14.31,.13494483,0
1989,8.493719999999991,213.79251,1.8491821,12.470367,14.21,.03350741,0
1990,8.5524,214.47569,.68318176,10.80246,14.34,.078220837,1
1991,7.86244,213.85269,-.6230011,-4.7236938,14.32,.089022934,1
1992,7.00884462151395,214.33595,.48326111,-3.4711304,14.13,-.1718232,1
1993,5.86628,215.10591,.7699585,-17.193085,14.17,-.10840932,0
1994,7.08518072289156,217.02702,1.9211121,-.57516479,14.22,-.049469303,0
1995,6.57392,219.15875,2.1317291,15.466064,14.38,.081785105,0
1996,6.44353174603174,221.62016,2.4614105,4.096344,14.25,.018110212,0
1997,6.35395999999999,224.67883,3.05867,-7.7689819,14.4,.061036192,0
1998,5.26287999999999,226.00597,1.3271332,-24.356232,14.53,.22670817,0
1999,5.64613545816733,228.57819,2.5722198,3.4795227,14.32,-.051645968,0
2000,6.02385826771653,231.32121,2.7430267,22.523163,14.32,-.07817059,0
2001,5.02152,232.81969,1.4984741,2.859314,14.45,.07157027,0
2002,4.60932,234.5126,1.6929169,-12.354919,14.52,.063925207,0
2003,4.00870967741935,237.29791,2.7853088,10.43042,14.53,.11367093,0
2004,4.26762096774194,241.25497,3.9570618,50.204376,14.44,-.034529395,0
2005,4.28888,244.95776,3.7027893,9.8998718,14.6,.04670202,0
2006,4.795,249.5248,4.5670319,9.9272766,14.56,.062803328,0
2007,4.63466135458167,254.09702,4.5722198,18.170685,14.55,-.017846761,1
2008,3.66426294820717,256.08643,1.9894104,49.602936,14.45,-.10141703,1
2009,3.26408,255.19072,-.89570618,-52.756866,14.56,-.056184277,1
2010,3.21472,259.58807,4.3973541,28.795593,14.63,.061835393,0
2011,2.75451882845188,262.79489,3.2068176,19.269867,14.52,-.066787221,1
2012,1.80344,265.27408,2.479187,-12.782593,14.56,-.059018753,1
2013,2.35016,267.88382,2.6097412,-4.2165527,14.58,-.021611752,0
2014,2.53956,270.50385,2.6200256,-11.192902,14.66,.019422961,0
2015,2.13884,273.17026,2.6664124,-41.64325,14.81,.21182975,0
2016,1.83744,275.67142,2.5011597,1.6575317,14.93,.26000902,0
2017,2.32948,278.7627,3.0912781,24.145264,14.84,.087428823,0
2018,2.91124497991968,281.76135,2.9986572,21.230927,14.76,-.047674723,0
2019,2.1414,284.01907,2.2577209,-24.464935,14.87,.032073852,0
